{'Time';'CpX';'CpY';'BottomLeft';'BottomRight';'TopLeft';'TopRight';'Weight';'RAWBottomLeft';'RAWBottonRight';'RAWTopLeft';'RAWTopRight'}
5.600     	     0.300	    -0.507	 11971.974	 13500.284	 12121.914	 11269.706	  4986.110	      7355	     17680	     14898	      3661
5.800     	     0.448	    -0.240	 11442.774	 13451.284	 12455.114	 11455.906	  4980.110	      7301	     17675	     14932	      3680
6.000     	     0.644	    -0.154	 11364.374	 13676.684	 12621.714	 11779.306	  5045.110	      7293	     17698	     14949	      3713
6.200     	     0.426	    -0.127	 11530.974	 13137.684	 12396.314	 11749.906	  4981.110	      7310	     17643	     14926	      3710
6.400     	     0.388	    -0.652	 12148.374	 13833.484	 12043.514	 11240.306	  5027.110	      7373	     17714	     14890	      3658
6.601     	     0.463	    -0.804	 12148.374	 14049.084	 11867.114	 11014.906	  5008.110	      7373	     17736	     14872	      3635
6.800     	     0.406	    -0.976	 12363.974	 14215.684	 11739.714	 10809.106	  5013.110	      7395	     17753	     14859	      3614
7.000     	     0.241	    -1.139	 12510.974	 14490.084	 11857.314	 10426.906	  5029.110	      7410	     17781	     14871	      3575
7.202     	    -0.461	    -1.229	 13353.774	 14294.084	 12239.514	 10230.906	  5114.110	      7496	     17761	     14910	      3555
7.401     	    -0.480	    -0.653	 11628.974	 12608.484	 11857.314	  9858.506	  4689.110	      7320	     17589	     14871	      3517
7.600     	    -0.580	    -1.301	 13569.374	 14441.084	 12357.114	 10132.906	  5153.110	      7518	     17776	     14922	      3545
7.801     	    -0.917	    -2.168	 14725.774	 15078.084	 11553.514	  9064.706	  5145.110	      7636	     17841	     14840	      3436
8.000     	    -0.584	    -2.040	 13892.774	 14842.884	 11298.714	  9025.506	  5006.110	      7551	     17817	     14814	      3432
8.201     	     1.289	    -1.093	 11668.174	 15029.084	 11328.114	 10877.706	  4990.110	      7324	     17836	     14817	      3621
8.401     	     3.271	    -1.227	 11325.174	 16900.885	 10397.114	 12553.506	  5222.110	      7289	     18027	     14722	      3792
